title,url,type,title_words,title_has_excl,title_caps_percent,negative,positive,type_num
The Pope Flat Out Called Fox News Type Journalism ‘Terrorism’,http://author.addictinginfo.org/2016/09/23/the-pope-flat-out-called-fox-news-type-journalism-terrorism/,fake,10,FALSE,0,4.72,2.1,1
NYC Terrorist Ahmad Rahami Sued Police Department for ‘Religious Persecution’ in 2011! ⋆ Freedom Daily,http://freedomdaily.com/nyc-terrorist-ahmad-rahami-sued-police-department-religious-persecution-2011/,fake,15,TRUE,6.666666666666667,4.05,3.81,1
Details Emerge About NYC Bomb Suspect Ahmad Khan Rahami,http://abcn.ws/2cMLIxB,real,9,FALSE,11.11111111111111,2.21,4.26,0
Republicans Push Bill To Legalize Voter Intimidation To Help Trump In Pennsylvania,http://www.addictinginfo.org/2016/09/22/republicans-push-bill-to-legalize-voter-intimidation-to-help-trump-in-pennsylvania/,fake,12,FALSE,0,2.73,3.56,1
More Milestone Moments for Donald Trump! – Eagle Rising,http://eaglerising.com/36829/more-milestone-moments-for-donald-trump/,real,9,TRUE,0,2.12,3.96,0
Is Donald Trump qualified to be president?,http://politi.co/2dkiM5e,real,7,FALSE,0,3.11,4.44,0
Another Terrorist Attack in NYC…Why Are we STILL Being Politically Correct – Eagle Rising,http://eaglerising.com/36942/another-terrorist-attack-in-nyc-why-are-we-still-being-politically-correct/,real,14,FALSE,14.285714285714285,3.27,2.78,0
Armed Intruders Break in House…Armed Resident Responds – Eagle Rising,http://eaglerising.com/36992/caught-on-video-armed-intruders-break-in-housearmed-resident-responds/,real,10,FALSE,0,2.85,4.47,0
Megan Rapinoe Punished Over Not Standing For Anthem?,http://www.opposingviews.com/i/society/megan-rapinoe-be-punished-over-not-standing-anthem?fb=rwn,real,8,FALSE,0,2.68,4.29,0
Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,http://conservativebyte.com/2016/09/hillary-bad-mouths-christians/,fake,13,FALSE,0,3.03,6.06,1
"HILLARY ON DISABLED CHILDREN During Easter Egg Hunt: ""When are they going to get those f*g ree-tards out of here?"" * 100percentfedUp.com",http://100percentfedup.com/hillary-on-disabled-children-during-easter-egg-hunt-when-are-they-going-to-get-those-fg-ree-tards-out-of-here/,fake,22,FALSE,18.181818181818183,4.01,2.01,1
Joe Arpaio: Trump didn’t call Obama’s birth certificate ‘legitimate’,http://politi.co/2cLospd,real,9,FALSE,0,2.39,4.06,0
HuffPo Just Dropped The Mic On Internet Polls Saying Trump Crushed Hillary In Last Night’s Debate,http://addictinginfo.org/2016/09/27/huffpo-just-dropped-the-mic-on-internet-polls-saying-trump-crushed-hillary-in-last-nights-debate/,real,16,FALSE,0,3.12,4.46,0
Obama’s team isn’t laughing at Trump anymore,http://politi.co/2cW2vAD,real,7,FALSE,0,3.74,3.65,0
2016 presidential race tightens in Florida,http://cnn.it/2ddxgjJ,real,6,FALSE,0,2.07,6.74,0
Obama in NYC: 'We all have a role to play' in terror fight after suspected bombings,http://cnn.it/2cTtbDk,real,16,FALSE,6.25,4.36,5.7,0
Website is Down For Maintenance,http://www.proudcons.com/clinton-foundation-caught-in-their-most-disturbing-scheme-yet-countless-people-died/,fake,5,FALSE,0,0,0,1
Donna Brazile slams Trump for not apologizing for birther claims,http://politi.co/2cSX97k,real,10,FALSE,0,3.1,3.76,0
SURPRISE! 70% Of Charlotte RIOTERS Are Not From There – Guess What That Means… [VIDEO],http://rightwingnews.com/black-lives-matter/surprise-70-charlotte-rioters-not-guess-means-video/,fake,15,TRUE,20,3.56,4.12,1
"ABC News – Breaking News, Latest News, Headlines & Videos",http://abcn.ws/2cQBD2w,real,10,FALSE,10,0,5,0
One Critically Wounded As Charlotte Police Endure Second Night Of RIOTS… [VIDEO],http://rightwingnews.com/black-lives-matter/one-critically-wounded-as-charlotte-police-endure-second-night-of-riots-video/,real,12,FALSE,16.666666666666664,4.73,3.59,0
NC State Troopers Take A Knee Before Protecting Charlotte – But It Wasn’t To Protest The National Anthem…,http://rightwingnews.com/black-lives-matter/nc-state-troopers-take-knee-protecting-charlotte-wasnt-protest-national-anthem/,real,18,FALSE,5.555555555555555,2.84,4.54,0
Insiders: The heat is on Hillary,http://politi.co/2cP9WaV,real,6,FALSE,0,2.15,2.31,0
Chelsea Handler Gets The Last Word After RNC Chair Attacks Hillary For Not Smiling (VIDEO),http://www.addictinginfo.org/2016/09/19/chelsea-handler-gets-the-last-word-after-rnc-chair-attacks-hillary-for-not-smiling-video/,real,15,FALSE,13.333333333333334,3.23,4.44,0
KISS Bassist Gene Simmons on How to Stop Islamic Terrorism,http://eaglerising.com/37013/kiss-bassist-gene-simmons-on-how-to-stop-islamic-terrorism-profile-video/,real,10,FALSE,10,3.5,4.78,0
Tebow DISMANTLES national anthem protests in one sentence...BOOM! ⋆ Freedom Daily,http://freedomdaily.com/tebow-dismantles-national-anthem-protests-one-sentence-boom/,fake,11,TRUE,18.181818181818183,3.84,4.6,1
"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",http://abcn.ws/2d4lNn9,real,11,FALSE,0,4.19,3.59,0
Bono: ‘Trump is potentially the worst idea that ever happened to America’,http://politi.co/2cN5r3A,real,12,FALSE,0,1.67,2.22,0
"Post-debate, Trump team hits moderator Holt for 'some hostile questions'",http://politi.co/2dojlvi,real,10,FALSE,0,2.82,3.03,0
“How Can we LEAD When we Can’t Even Control Our Own Cities?” [VIDEO] – Eagle Rising,http://eaglerising.com/36966/trump-how-can-we-lead-when-we-cant-even-control-our-own-cities-video/,real,16,FALSE,12.5,2.91,4.78,0
Young Girl's Emotional Council Speech Laments 'Shame' of Fatal Charlotte Shooting,http://abcn.ws/2cTj7ap,real,11,FALSE,0,4.55,3.72,0
Hillary's DEAD!?!? Brand New Theory Has Serious PROOF,http://www.thepoliticalinsider.com/hillary-health-dead-brand-new-theory/?source=RWN,fake,8,TRUE,25,3.65,4.57,1
Everything you need to know about Trump and Clinton’s first 2016 presidential debate,http://politi.co/2d3mmAD,real,13,FALSE,0,1.04,4.44,0
Donald Trump's rise puts Ted Cruz in a bind,http://cnn.it/2dlbk5X,real,9,FALSE,0,4.2,2.67,0
Trump’s puzzling pitch to black voters,http://politi.co/2cRQmvU,real,6,FALSE,0,3.92,4.36,0
Rouhani: Iran deal able to weather the election,http://politi.co/2da5pR0,real,8,FALSE,0,1.82,5.91,0
Fast Food CEO Threatens To Fire Everyone If A Democrat Wins The Presidency,http://author.groopspeak.com/fast-food-ceo-threatens-to-fire-everyone-if-a-democrat-wins-the-presidency/,fake,13,FALSE,7.6923076923076925,2.27,3.41,1
The Mystery of Trump’s Man in Moscow: Carter Page,http://politi.co/2cYpJ8p,real,9,FALSE,0,1.61,2.61,0
Hillary Clinton on police shootings: 'too many people have lost their lives who shouldn't have',http://cnn.it/2cRxlv5,real,15,FALSE,0,4.89,3.01,0
U.S. attorney sees no rush to arraign Rahami in federal court,http://politi.co/2cS8sh4,real,11,FALSE,0,2.27,3.22,0
"HERE IT IS! The Winner of the First Debate Was Just Announced, And the Winner Is…",http://freedomdaily.com/here-it-is-the-winner-of-the-first-debate-was-just-announced-and-the-winner-is/,fake,16,TRUE,18.75,2.87,3.15,1
I Was RFK’s Speechwriter. Now I’m Voting for Trump. Here’s Why.,http://politi.co/2cQNTTT,real,11,FALSE,9.090909090909092,3.33,4.37,0
Emmy Host Kimmel Calls Out Dude Who Made Trump A Reality TV Star For Helping Destroy America (VIDEO),http://www.ifyouonlynews.com/humor/emmy-host-kimmel-calls-out-dude-who-made-trump-a-reality-tv-star-for-helping-destroy-america-video/,real,18,FALSE,11.11111111111111,2.45,4.29,0
"Decades-Old Clinton Friend Comes Forward, Says She Knows What's Happening to Hillary",http://conservativetribune.com/clinton-friend-happening-hillary/?utm_source=Facebook&utm_medium=RightWingNews&utm_content=2016-09-21&utm_campaign=manualpost,fake,12,FALSE,0,4.24,4.52,1
Charity: Clinton Foundation Distributed “Watered-Down” AIDS Drugs to Sub-Saharan Africa – Eagle Rising,http://eaglerising.com/36899/charity-clinton-foundation-distributed-watered-down-aids-drugs-to-sub-saharan-africa/,fake,13,FALSE,7.6923076923076925,2.5,4.48,1
Tim Kaine on Libertarian ticket: 'Everybody knows they're not going to win',http://cnn.it/2cX5Nof,real,12,FALSE,0,3.74,2.8,0
"Clinton: Tulsa shooting 'unbearable,' should be 'intolerable'",http://cnn.it/2cQyS4N,real,7,FALSE,0,3.7,3.51,0
Watch Joe Biden Take Trump’s Own Words And Tear Him To SHREDS After Debate (VIDEO),http://addictinginfo.org/2016/09/27/watch-joe-biden-take-trumps-own-words-and-tear-him-to-shreds-after-debate-video/,real,15,FALSE,13.333333333333334,2.24,4.49,0
McAuliffe hangs with Willie Nelson -- and his weed,http://cnn.it/2dbrw9X,real,9,FALSE,0,0.47,4.25,0
New York bomb Suspect SUED Police!,http://rightwingnews.com/top-news/new-york-bomb-suspect-sued-police/,fake,6,TRUE,16.666666666666664,5.57,3.39,1
In Defense of ‘He Said/She Said’ Journalism,http://politi.co/2daL69Q,real,7,FALSE,0,3.67,4.53,0
Hillary’s TOP Donor Country Just Auctioned Off ISIS Sex Slaves…,http://rightwingnews.com/hillary-clinton-2/hillarys-top-donor-country-just-auctioned-off-isis-sex-slaves/,fake,10,FALSE,20,3.25,4.52,1
Clinton vs. Trump: The debate before the debate,http://politi.co/2d0l760,real,8,FALSE,0,1.64,3.59,0
Topics for first presidential debate announced,http://politi.co/2cZokC4,real,6,FALSE,0,0.71,9.22,0
Proof The Mainstream Media Is Manipulating The Election By Taking Bill Clinton Out Of Context,http://www.addictinginfo.org/2016/09/19/proof-the-mainstream-media-is-manipulating-the-election-by-taking-bill-clinton-out-of-context/,fake,15,FALSE,0,2.06,3.18,1
"Georgia poll: Donald Trump, Hillary Clinton in tight race",http://cnn.it/2cynaZx,real,9,FALSE,0,1.81,3.61,0
Angela Merkel Admits Bringing In Muslim Refugees Was A Big Fat Mistake,https://goo.gl/aKyOlG,fake,12,FALSE,0,4.55,1.82,1
BOOM! Merkel Admits Flooding Germany With Muslim Refugees,http://freedomdaily.com/boom-merkel-admits-flooding-germany-with-muslim-refugees-was-wrong/,fake,8,TRUE,12.5,2.87,2.87,1
A Hillary Clinton Administration May be Entirely Run by a FIGUREHEAD – Eagle Rising,http://eaglerising.com/36880/a-hillary-clinton-administration-may-be-entirely-run-by-a-figurehead/,fake,14,FALSE,7.142857142857142,1.49,3.32,1
"Obama To UN: ‘Giving Up Liberty, Enhances Security In America…’ [VIDEO]",http://rightwingnews.com/barack-obama/obama-un-giving-liberty-enhances-security-america/,real,11,FALSE,18.181818181818183,3.41,6.43,0
BREAKING: WikiLeaks Releases Proof Hillary Lied and The FBI Covered It Up,NA,fake,12,FALSE,16.666666666666664,1.78,3.18,1
Johnson: 'I’m going to sleep well at the end of all this',http://politi.co/2cx5AZI,real,12,FALSE,0,1.63,2.44,0
Donald Trump retreats to friendly media ground,http://cnn.it/2dcjQUU,real,7,FALSE,0,1.06,3.46,0
Paul Ryan ducks on stop-and-frisk,http://cnn.it/2de7kZ4,real,5,FALSE,0,3.63,3.63,0
US builds working theory on cause of Syrian airstrike,http://cnn.it/2dbAvI9,real,9,FALSE,11.11111111111111,2.42,3.64,0
US: ISIS did not use mustard agent in base attack,http://cnn.it/2dwOp8d,real,10,FALSE,20,3.81,2.12,0
Obama Pushes One World Government,http://allenwestrepublic.com/2016/09/20/obama-pushes-one-world-government/,fake,5,FALSE,0,5.1,5.1,1
No WAY! Liberal Judge Just Made A Law For Black Males To Do This DISGUSTING Thing To Cops ⋆ Freedom Daily,http://freedomdaily.com/no-way-liberal-judge-just-made-law-black-males-disgusting-thing-cops/,fake,21,TRUE,9.523809523809524,5.41,4.9,1
"Obama wears hat, breaking ‘Politics 101’ rule on headgear",http://politi.co/2dbESny,real,9,FALSE,0,1.85,5.54,0
Conway: Trump will explain his Islamic State plan if asked,http://politi.co/2dm2wkm,real,10,FALSE,0,1.89,4.15,0
Networks Confirm They Will Not Be Fact-Checking Donald Trump In Any Way,http://addictinginfo.org/2016/09/26/networks-confirm-they-will-not-be-fact-checking-donald-trump-in-any-way/,fake,12,FALSE,0,2.23,3.96,1
Kaine visits site of Orlando mass shooting,http://politi.co/2d1z7fz,real,7,FALSE,0,3.12,3.12,0
"Homosexual Thinks Muslims Will Accept Him, Instantly Learns How They Deal With LGBT",NA,fake,13,FALSE,7.6923076923076925,4.89,4.28,1
BREAKING: Pipe Bombs Found in New Jersey Train Station,http://rightwingnews.com/crime/breaking-pipe-bombs-found-new-jersey-train-station/,real,9,FALSE,11.11111111111111,3.65,3.34,0
Newsweek Accuses Trump Of Committing A Felony,http://occupydemocrats.com/2016/09/23/just-newsweek-accuses-trump-committing-felony/,fake,7,FALSE,0,3.17,3.62,1
CNN’s Post-Debate Rigged Poll Busted…Here Are The Real Results,NA,fake,9,FALSE,11.11111111111111,2.6,4.55,1
"ALERT: Police Pull Over ‘Islamic Refugee,’ Horrified To See What Was In The Car",NA,fake,14,FALSE,7.142857142857142,4.29,3.79,1
"“If You Can’t Run Your Own House, You Certainly Can’t Run the White House” – Eagle Rising",http://eaglerising.com/37040/michelle-obama-attacks-hillary-if-you-cant-run-your-own-house-you-certainly-cant-run-the-white-house/,fake,17,FALSE,0,3.51,4.39,1
Joe Biden Slams Donald Trump's Comment That Housing Crisis Was 'Good Business',http://abcn.ws/2d3YEVr,real,12,FALSE,0,2.5,4.72,0
Trump’s Latest Campaign Promise May Be His Most Horrible One Yet,http://www.addictinginfo.org/2016/09/19/trumps-latest-campaign-promise-may-be-his-most-horrible-one-yet/,fake,11,FALSE,0,4.21,3.66,1
BREAKING: Judge DEMANDS Release Of Clinton’s Security Training Files – She Has 5 Days…,http://rightwingnews.com/hillary-clinton-2/breaking-judge-demands-release-clintons-security-training-files-5-days/,fake,14,FALSE,14.285714285714285,2.53,3.2,1
Hillary Clinton on Between Two Ferns: 'I really regret doing this',http://cnn.it/2djV0ml,real,11,FALSE,0,3.16,2.63,0
Changing Your Baby's Diaper Is Now A Sex Crime In Arizona,http://www.chicksontheright.com/changing-your-babys-diaper-is-now-a-sex-crime-in-arizona/?utm_source=RWN&utm_medium=RWN&utm_campaign=RWN,fake,11,FALSE,0,5.84,5.84,1
10 Moments That Mattered From Hillary Clinton and Donald Trump's First Debate,http://abcn.ws/2d56mMD,real,12,FALSE,0,1.49,3.52,0
Debate Commission STUNS Journalists By Siding With Trump: Fact Checking Is Out Of Bounds (VIDEO),http://www.ifyouonlynews.com/politics/debate-commission-stuns-journalists-by-siding-with-trump-fact-checking-is-out-of-bounds-video/,real,15,FALSE,13.333333333333334,3.07,4.67,0
Putin's Troll Army Caught Rigging Twitter To Pretend Trump Won,http://occupydemocrats.com/2016/09/27/breaking-putins-troll-army-caught-rigging-twitter-pretend-trump-won/,fake,10,FALSE,0,4.84,4.3,1
Bobby Knight: Nobody can 'correct mistakes' like Trump,http://politi.co/2cRiK2U,real,8,FALSE,0,1.36,3.18,0
EXPOSED: Soros Funding Fake Veterans’ PAC To Take Trump Down,http://rightwingnews.com/top-news/exposed-soros-funding-fake-veterans-pac-to-take-trump-down/,fake,10,FALSE,20,1.83,4.98,1
Trump labels Clinton 'weak and ineffective' in wake of bombings,http://cnn.it/2d6LAP3,real,10,FALSE,0,4.8,3.49,0
Obama: Refugee crisis is test of our humanity,http://cnn.it/2deTou2,real,8,FALSE,0,2.64,5.1,0
Trump camp: ‘Donald Trump is guilty of answering the question asked’,http://politi.co/2doygoM,real,11,FALSE,0,2.56,4.02,0
Obama Just DISGRACED The U.S. By Surrendering To ISIS In Front Of Entire U.N. ⋆ US Herald,https://goo.gl/aRYFof,fake,17,FALSE,17.647058823529413,4.13,5.87,1
"New Jersey Moves To Impeach Chris Christie Over ""Bridgegate""",http://occupydemocrats.com/2016/09/23/breaking-new-jersey-moves-impeach-chris-christie-bridgegate/,fake,9,FALSE,0,3.58,3.95,1
“Public School Forced My Child To,http://freedomdaily.com/outraged-parents-file-lawsuit-public-school-forced-my-child-to-convert-to-islam/,real,6,FALSE,0,4.18,6.37,0
“Why Aren’t I 50 Points Ahead?” – Eagle Rising,http://eaglerising.com/36936/hillary-wants-to-know-why-arent-i-50-points-ahead/,real,9,FALSE,0,1.47,6.76,0
France becomes the first country to ban plastic plates and cutlery,https://www.washingtonpost.com/news/worldviews/wp/2016/09/19/france-bans-plastic-plates-and-cutlery/,real,11,FALSE,0,3.08,4.19,0
Obama weighs in on the debate,http://politi.co/2dpdeXp,real,6,FALSE,0,1.45,2.32,0
'Reporters' FLEE When Clintons Get EXPOSED!,http://clashdaily.com/2016/09/watch-trump-visits-little-haiti-miami-reporters-flee-clintons-get-exposed/?utm_source=referral&utm_medium=facebook.com&utm_campaign=lasmpfb,fake,6,TRUE,33.33333333333333,3.57,3.57,1
Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,http://freedomdaily.com/breaking-federal-agents-make-massive-discovery-southern-border-isis-2/,fake,14,FALSE,7.142857142857142,2.11,2.9,1
U.S. mistakenly granted citizenship to hundreds of immigrants,http://politi.co/2cKqILg,real,8,FALSE,0,2.22,2.83,0
Sacramento mayor punches pie thrower,http://cnn.it/2de6xHA,real,5,FALSE,0,1.17,3.51,0
Cavuto Just Exposed Lester Holt's Lies During Debate,http://conservativetribune.com/lester-holt-lies-during-debate/?utm_source=Facebook&utm_medium=RightWingNews&utm_content=2016-09-27&utm_campaign=manualpost,fake,8,FALSE,0,2.43,3.77,1
Inmate Dead From Alleged Mistreatment In Jail Run By Infamous Pro-Trump Sheriff,http://www.addictinginfo.org/2016/09/20/inmate-dead-from-alleged-mistreatment-in-jail-run-by-infamous-pro-trump-sheriff/,real,12,FALSE,0,4.65,3.2,0
Barack Obama at Benjamin Netanyahu meeting: 'He is always very candid with us',http://cnn.it/2dgYW6Z,real,13,FALSE,0,2.12,5.3,0
Trump vs. Clinton: A Fundamental Clash over How the Economy Works,http://politi.co/2de2qs0,real,11,FALSE,0,2.37,4.96,0
"The AP, In 2004, Said Your Boy Obama Was BORN In This Particular Country",http://clashdaily.com/2016/09/dear-cnn-ap-2004-said-boy-obama-born-particular-country/?utm_source=referral&utm_medium=facebook.com&utm_campaign=lasmpfb,fake,14,FALSE,14.285714285714285,4.28,3.48,1
Clinton: ‘The next 50 days will determine the next 50 years’,http://politi.co/2cmo9Qd,real,11,FALSE,0,1.66,3.08,0
Jeb Bush to lecture at Harvard this fall,http://cnn.it/2d7qa20,real,8,FALSE,0,2.34,7.02,0
Pence gives no specifics on why Trump Foundation story is inaccurate,http://politi.co/2d1BwU6,real,11,FALSE,0,1.52,4.17,0
White Guy Walled In Car By BlackLivesMatter Protesters – They See What He’s Brandishing And Scatter…,http://rightwingnews.com/top-news/white-guy-walled-car-blacklivesmatter-protesters-see-hes-brandishing-scatter/,fake,16,FALSE,0,3.43,3.43,1
Is Hillary in a No-Win Situation?,http://politi.co/2d0FTlN,real,6,FALSE,0,2.91,3.77,0
Bridgegate: Port Authority officials planned to make Fort Lee 'traffic jam as bad as possible',http://cnn.it/2dn8vWp,real,15,FALSE,0,1.65,3.53,0
BOOM! Marines Send TERRORISTS Scathing Message [VIDEO],http://rightwingnews.com/military/boom-marines-send-terrorists-scathing-message/,fake,7,TRUE,42.857142857142854,5.74,3.13,1
Obama: “I bet when I die you’ll be happy to pee on my grave.”,https://ihavethetruth.com/2016/01/30/obama-i-bet-when-i-die-youll-be-happy-to-pee-on-my-grave/,fake,14,FALSE,0,4.72,4.72,1
OUTRAGE! Obama Spends $770M Dollars In Tax Payer Money To Renovate Mosques Over Seas… [VIDEO],http://rightwingnews.com/barack-obama/outrage-obama-spends-770m-dollars-tax-payer-money-renovate-mosques-seas-video/,fake,15,TRUE,13.333333333333334,3.28,4.92,1
National poll: Clinton leads Trump by 6,http://cnn.it/2cX0uoC,real,7,FALSE,0,1.51,6.42,0
Trump-Clinton debates will stream on Twitter,http://politi.co/2cRe8b9,real,6,FALSE,0,0.61,4.24,0
Hillary Thought She Won The Debate. Didn’t Expect This To Happen To Prove Her Wrong.,http://www.yesimright.com/hillary-thought-she-won-the-debate-didnt-expect-this-to-happen-to-prove-her-wrong/,fake,15,FALSE,0,2.45,4.55,1
Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,http://abcn.ws/2cVpv23,real,11,FALSE,0,4.92,3.28,0
Senate Dems Move To Force Trump To Release His Tax Returns,http://occupydemocrats.com/2016/09/23/senate-dems-move-force-trump-release-tax-returns/,real,11,FALSE,0,3.33,4.75,0
Top Army Chief of Staff General Has Had It With Obama Incompetence ⋆ US Herald,http://usherald.com/top-army-chief-of-staff-general-has-had-it-with-obama-incompetence?utm_source=aep&utm_medium=generalobamaincompetent&utm_campaign=fbext,fake,15,FALSE,6.666666666666667,5.45,3.64,1
BOOM! Charlotte Officials FINALLY Silence Rioters With One E P I C Announcement! [VIDEO],http://rightwingnews.com/black-lives-matter/boom-charlotte-officials-finally-silence-rioters-one-e-p-c-announcement/,fake,14,TRUE,21.428571428571427,5.23,3.49,1
"SICK! Muslim Refugee Beats, Urinates On Pregnant Woman After Seeing What She Has ⋆ Freedom Daily",http://freedomdaily.com/sick-muslim-refugee-beats-urinates-on-pregnant-woman-after-seeing-what-she-has/,fake,16,TRUE,6.25,6.19,3.98,1
"CHAOS! NC Protest MOB Ambushes Female Truck Driver, Loots Truck, Sets Cargo On Fire – No One Helps!? [VIDEO]",http://rightwingnews.com/black-lives-matter/chaos-nc-protest-mob-ambushes-female-truck-driver-loots-truck-sets-cargo-fire-no-one-helps/,real,19,TRUE,21.052631578947366,5.53,4.3,0
Dem congressman to IRS: Audit the Trump Foundation,http://cnn.it/2diatmB,real,8,FALSE,12.5,1.72,4.72,0
Is it the Beginning of the End for Hillary Clinton? – Eagle Rising,http://eaglerising.com/36912/is-it-the-beginning-of-the-end-for-hillary-clinton/,fake,13,FALSE,0,5.37,4.42,1
"Critical counties: Wake County, NC, could put up a fight",http://cnn.it/2dnoYpa,real,10,FALSE,10,2.26,5.28,0
WHOA! NEW DISTURBING VIDEO Shows HILLARY'S Campaign Likely FAKED Her Audience At NC Rally * 100percentfedUp.com,http://100percentfedup.com/new-disturbing-video-shows-hillarys-campaign-likely-faked-audience-nc-rally/,fake,16,TRUE,43.75,0.9,4.04,1
CNN’s Post-Debate Rigged Poll Busted…Here Are The Real Results,NA,fake,9,FALSE,11.11111111111111,2.6,4.55,1
New Clinton Foundation SCANDAL Just Broke – This Is What Hillary ACTUALLY Thinks About Black People…,http://rightwingnews.com/hillary-clinton-2/new-clinton-foundation-scandal-just-broke-hillary-actually-thinks-black-people/,fake,16,FALSE,12.5,4.31,4.17,1
NFL Superstar Unleashes 4 Word Bombshell on Reporter Pushing Him to Protest Anthem,http://conservativebyte.com/2016/09/inside-the-cover-up-of-hillarys-email-server/,real,13,FALSE,7.6923076923076925,3.12,7.81,0
People Noticed Something Odd About Hillary's Outfit,http://www.thepoliticalinsider.com/first-presidential-debate-hillary-clinton-sick/?source=RWN,fake,7,FALSE,0,1.38,4.14,1
